origin,destination,netperf_p50_latency_microseconds,netperf_p90_latency_microseconds,netperf_p99_latency_microseconds
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,224,319,409
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,133,187,288
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,187,257,380
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node9.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,154,188,244
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node8.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,184,228,288
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node2.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,473,599,708
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node3.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,404,504,601
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,master.cluster.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,400,499,635
node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node1.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,515,650,747
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,77,119,269
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node11.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,152,223,345
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,154,201,322
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,448,516,575
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,78,119,220
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,156,224,320
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,186,244,326
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,159,235,357
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node9.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,94,149,239
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node8.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,160,205,332
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node2.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,413,524,612
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node3.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,421,519,596
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,master.cluster.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,369,476,556
node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node1.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,358,460,506
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,393,494,546
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node11.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,411,497,625
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,462,565,695
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,393,486,541
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,378,483,551
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,444,540,705
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,431,636,1280
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,432,514,585
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node9.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,386,492,730
